(-8.860622387537333+0j) (0.12381871697465908+0j) (-0.034481850243671786+0j) (-0.034481850243671786+0j) (0.02347765091366341+0j) (0.02347765091366341+0j) (0.012964362980297866+0j) (-0.007496615716160164+0j) (0.009817999566938325+0j) (0.009817999566938329+0j)
(0.12381871697465908+0j) (-7.814583706172781+0j) (0.02412107827219439+0j) (0.0241210782721944+0j) (0.019704301706666098+0j) (0.019704301706666098+0j) (0.02642567114816436+0j) 0j 0j 0j
(-0.034481850243671786+0j) (0.02412107827219439+0j) (-8.149567540159365+0j) (0.02642567114816436+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.1041328304195597+0j) 0j 0j 0j
(-0.034481850243671786+0j) (0.0241210782721944+0j) (0.02642567114816436+0j) (-8.149567540159367+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.1041328304195597+0j) 0j 0j 0j
(0.02347765091366341+0j) (0.019704301706666098+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (-8.1952654251074+0j) (0.016869139513691025+0j) (0.04127897118714075+0j) 0j 0j (0.013456934191994506+0j)
(0.02347765091366341+0j) (0.019704301706666098+0j) (-0.013741075830023517+0j) (-0.013741075830023517+0j) (0.016869139513691025+0j) (-8.1952654251074+0j) (0.04127897118714075+0j) (-0.02255943793564394+0j) (0.013456934191994506+0j) 0j
(0.012964362980297866+0j) (0.02642567114816436+0j) (0.1041328304195597+0j) (0.1041328304195597+0j) (0.04127897118714075+0j) (0.04127897118714075+0j) (-8.175438169241867+0j) 0j 0j 0j
(-0.007496615716160164+0j) 0j 0j 0j 0j (-0.02255943793564394+0j) 0j (-6.51790273520765+0j) (0.0959222823505799+0j) 0j
(0.009817999566938325+0j) 0j 0j 0j 0j (0.013456934191994506+0j) 0j (0.0959222823505799+0j) (-3.4298434169631475+0j) (0.016869139513691025+0j)
(0.009817999566938329+0j) 0j 0j 0j (0.013456934191994506+0j) 0j 0j 0j (0.016869139513691025+0j) (-3.4298434169631467+0j)
