Time:0.17452777777777778 , GS_energy:-7.881855148085317
Time:0.34905555555555556 , GS_energy:-7.881960060741068
Time:0.5235833333333333 , GS_energy:-7.882002330162128
Time:0.6981111111111111 , GS_energy:-7.882023225900062
Time:0.872638888888889 , GS_energy:-7.8820211413789325
Time:1.0471666666666666 , GS_energy:-7.88202455391322
Time:1.2216944444444444 , GS_energy:-7.882244206377211
Time:1.3962222222222223 , GS_energy:-7.882439394411478
Time:1.57075 , GS_energy:-7.882447473136797
